meshSize,time
0.3,0m22.677s
0.3,0m22.228s
0.3,0m22.624s
0.3,0m22.380s
0.3,0m23.062s
0.4,0m5.537s
0.4,0m5.496s
0.4,0m5.788s
0.4,0m5.257s
0.4,0m5.578s
0.5,0m1.612s
0.5,0m1.505s
0.5,0m1.505s
0.5,0m1.435s
0.5,0m1.509s
0.6,0m0.787s
0.6,0m0.821s
0.6,0m0.815s
0.6,0m0.783s
0.6,0m0.793s
0.7,0m0.283s
0.7,0m0.274s
0.7,0m0.270s
0.7,0m0.270s
0.7,0m0.260s
0.8,0m0.193s
0.8,0m0.193s
0.8,0m0.213s
0.8,0m0.181s
0.8,0m0.183s
0.9,0m0.164s
0.9,0m0.166s
0.9,0m0.183s
0.9,0m0.176s
0.9,0m0.152s
